"Name","Total Time","Total Time (CPU)","Hits"
"                                                            org.apache.catalina.core.ApplicationFilterChain.doFilter ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                             org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                              org.apache.tomcat.websocket.server.WsFilter.doFilter ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                               org.apache.catalina.core.ApplicationFilterChain.doFilter ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                 javax.servlet.http.HttpServlet.service ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                  org.springframework.web.servlet.FrameworkServlet.service ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                   javax.servlet.http.HttpServlet.service ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                    org.springframework.web.servlet.FrameworkServlet.doGet ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                     org.springframework.web.servlet.FrameworkServlet.processRequest ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                      org.springframework.web.servlet.DispatcherServlet.doService ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                       org.springframework.web.servlet.DispatcherServlet.doDispatch ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                        org.springframework.web.servlet.DispatcherServlet.processDispatchResult ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                         org.springframework.web.servlet.DispatcherServlet.render ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                          org.thymeleaf.spring5.view.ThymeleafView.render ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                           org.thymeleaf.spring5.view.ThymeleafView.renderFragment ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                            org.thymeleaf.TemplateEngine.process ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                             org.thymeleaf.TemplateEngine.process ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                              org.springframework.security.web.util.OnCommittedResponseWrapper$SaveContextPrintWriter.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                               org.springframework.security.web.util.OnCommittedResponseWrapper$SaveContextPrintWriter.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                org.apache.catalina.connector.CoyoteWriter.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                 org.apache.catalina.connector.OutputBuffer.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                  org.apache.catalina.connector.OutputBuffer.doFlush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                   org.apache.coyote.Response.action ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                    org.apache.coyote.AbstractProcessor.action ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                     org.apache.coyote.http11.Http11Processor.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                      org.apache.coyote.http11.Http11OutputBuffer.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                       org.apache.coyote.http11.filters.ChunkedOutputFilter.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                        org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                         org.apache.tomcat.util.net.SocketWrapperBase.flush ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                          org.apache.tomcat.util.net.SocketWrapperBase.flushBlocking ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                           org.apache.tomcat.util.net.SocketWrapperBase.doWrite ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                            org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.doWrite ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                             org.apache.tomcat.util.net.NioSelectorPool.write ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                              org.apache.tomcat.util.net.NioBlockingSelector.write ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                               org.apache.tomcat.util.net.NioChannel.write ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                                sun.nio.ch.SocketChannelImpl.write ()","6.51 ms (-0%)","6.51 ms (-0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.registerReadInterest ()","5.85 ms (-0%)","5.85 ms (-0%)","1"
"         org.apache.tomcat.util.net.NioEndpoint$Poller.add ()","5.85 ms (-0%)","5.85 ms (-0%)","1"
"          org.apache.tomcat.util.net.NioEndpoint$Poller.addEvent ()","5.85 ms (-0%)","5.85 ms (-0%)","1"
"           sun.nio.ch.WindowsSelectorImpl.wakeup ()","5.85 ms (-0%)","5.85 ms (-0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-3","2,956,388 ms (-0%)","11.7 ms (-0%)","1"
" java.lang.Thread.run ()","2,956,388 ms (-0%)","11.7 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","2,956,388 ms (-0%)","11.7 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","2,956,388 ms (-0%)","11.7 ms (-0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","2,956,388 ms (-0%)","11.7 ms (-0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","2,956,376 ms (-0%)","0.0 ms (0%)","3"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","2,956,376 ms (-0%)","0.0 ms (0%)","3"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","2,956,376 ms (-0%)","0.0 ms (0%)","3"
"        java.util.concurrent.LinkedBlockingQueue.take ()","2,956,376 ms (-0%)","0.0 ms (0%)","3"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","11.7 ms (-0%)","11.7 ms (-0%)","2"
