"Name","Live Bytes","Live Objects"
"sun.util.logging.PlatformLogger$Level","216 B (0%)","9 (0%)"
"org.hibernate.engine.internal.CascadePoint","216 B (0%)","9 (0%)"
"org.springframework.boot.origin.TextResourceOrigin","216 B (0%)","9 (0%)"
"sun.rmi.runtime.Log$LoggerLog","216 B (0%)","9 (0%)"
"org.h2.engine.Mode$ModeEnum","216 B (0%)","9 (0%)"
"org.hibernate.resource.transaction.spi.TransactionStatus","216 B (0%)","9 (0%)"
"java.nio.file.attribute.PosixFilePermission","216 B (0%)","9 (0%)"
"java.util.regex.Pattern$Begin","208 B (0%)","13 (0%)"
"org.springframework.expression.spel.standard.TokenKind[]","208 B (0%)","1 (0%)"
"org.hibernate.boot.internal.SessionFactoryOptionsBuilder","208 B (0%)","1 (0%)"
"org.h2.schema.Sequence","208 B (0%)","2 (0%)"
"com.sun.proxy.$Proxy52","208 B (0%)","13 (0%)"
"org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean","208 B (0%)","2 (0%)"
"org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$CacheKey","208 B (0%)","13 (0%)"
"org.thymeleaf.standard.processor.StandardCaseTagProcessor","200 B (0%)","5 (0%)"
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardAssertTagProcessor","200 B (0%)","5 (0%)"
"org.springframework.orm.jpa.JpaTransactionManager$JpaTransactionObject","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardUtextTagProcessor","200 B (0%)","5 (0%)"
"org.apache.tomcat.util.descriptor.web.FilterMap","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInsertTagProcessor","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardUnlessTagProcessor","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardIfTagProcessor","200 B (0%)","5 (0%)"
"java.text.DateFormat$Field[]","200 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.util.DefaultPrettyPrinter","200 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.cfg.ConfigOverrides","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardSwitchTagProcessor","200 B (0%)","5 (0%)"
"org.apache.tomcat.util.log.UserDataHelper","200 B (0%)","5 (0%)"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo","200 B (0%)","5 (0%)"
"org.apache.catalina.core.StandardPipeline","200 B (0%)","5 (0%)"
"com.fasterxml.jackson.core.Version","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardWithTagProcessor","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardReplaceTagProcessor","200 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag","200 B (0%)","5 (0%)"
"org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f","200 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardEachTagProcessor","200 B (0%)","5 (0%)"
"net.bytebuddy.implementation.bytecode.member.MethodReturn","192 B (0%)","6 (0%)"
"java.util.TreeSet","192 B (0%)","12 (0%)"
"org.attoparser.HtmlHeadElement","192 B (0%)","8 (0%)"
"sun.reflect.generics.scope.ConstructorScope","192 B (0%)","8 (0%)"
"com.sun.beans.introspect.PropertyInfo$Name","192 B (0%)","8 (0%)"
"javax.validation.ElementKind","192 B (0%)","8 (0%)"
"org.springframework.beans.factory.config.RuntimeBeanReference","192 B (0%)","6 (0%)"
"org.hibernate.hql.internal.ast.QueryTranslatorImpl","192 B (0%)","3 (0%)"
"org.apache.tomcat.util.net.WriteBuffer","192 B (0%)","8 (0%)"
"org.springframework.data.mapping.model.Property$$Lambda$714.0x000000010073e040","192 B (0%)","8 (0%)"
"org.hibernate.query.criteria.internal.compile.CriteriaCompiler$1","192 B (0%)","4 (0%)"
"org.hibernate.persister.entity.Loadable[]","192 B (0%)","8 (0%)"
"org.springframework.security.web.util.matcher.AntPathRequestMatcher","192 B (0%)","6 (0%)"
"jdk.internal.reflect.Label$PatchInfo","192 B (0%)","8 (0%)"
"com.sun.jmx.remote.util.ClassLoaderWithRepository","192 B (0%)","2 (0%)"
"org.h2.command.dml.Update","192 B (0%)","2 (0%)"
"org.springframework.http.HttpMethod","192 B (0%)","8 (0%)"
"org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor","192 B (0%)","8 (0%)"
"org.hibernate.loader.PropertyPath","192 B (0%)","8 (0%)"
"org.springframework.core.type.filter.AnnotationTypeFilter","192 B (0%)","6 (0%)"
"org.springframework.cglib.proxy.MethodProxy","192 B (0%)","6 (0%)"
"org.apache.tomcat.util.net.AbstractEndpoint$Handler$SocketState","192 B (0%)","8 (0%)"
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap","192 B (0%)","12 (0%)"
"java.time.format.TextStyle","192 B (0%)","6 (0%)"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet","192 B (0%)","12 (0%)"
"org.springframework.data.mapping.model.AbstractPersistentProperty$$Lambda$720.0x000000010073f840","192 B (0%)","8 (0%)"
"org.apache.tomcat.util.net.NioEndpoint","192 B (0%)","1 (0%)"
"org.springframework.data.jpa.mapping.JpaPersistentPropertyImpl$$Lambda$743.0x0000000100745840","192 B (0%)","8 (0%)"
"org.springframework.data.mapping.model.Property$$Lambda$707.0x000000010073c440","192 B (0%)","8 (0%)"
"org.springframework.data.mapping.model.AbstractPersistentProperty$$Lambda$721.0x000000010073fc40","192 B (0%)","8 (0%)"
"org.h2.mvstore.tx.VersionedValueUncommitted","192 B (0%)","6 (0%)"
"java.security.MessageDigest$Delegate","192 B (0%)","6 (0%)"
"org.apache.coyote.ActionCode[]","192 B (0%)","1 (0%)"
"org.h2.schema.Schema","192 B (0%)","2 (0%)"
"net.bytebuddy.matcher.StringMatcher","192 B (0%)","8 (0%)"
"org.hibernate.type.ManyToOneType","192 B (0%)","4 (0%)"
"java.net.InetSocketAddress[]","192 B (0%)","8 (0%)"
"javax.management.MBeanConstructorInfo","192 B (0%)","6 (0%)"
"org.hibernate.query.internal.QueryParameterBindingsImpl","192 B (0%)","4 (0%)"
"java.math.RoundingMode","192 B (0%)","8 (0%)"
"org.thymeleaf.engine.IteratedGatheringModelProcessable","192 B (0%)","2 (0%)"
"org.springframework.data.repository.util.QueryExecutionConverters$WrapperType","192 B (0%)","8 (0%)"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable","192 B (0%)","12 (0%)"
"org.springframework.web.bind.annotation.RequestMethod","192 B (0%)","8 (0%)"
"org.hibernate.hql.internal.ast.HqlParser","192 B (0%)","3 (0%)"
"org.springframework.context.event.AbstractApplicationEventMulticaster$ListenerRetriever","192 B (0%)","6 (0%)"
"org.apache.logging.log4j.Level","192 B (0%)","8 (0%)"
"org.hibernate.annotations.common.reflection.java.JavaReflectionManager$TypeKey","192 B (0%)","8 (0%)"
"com.fasterxml.jackson.annotation.JsonFormat$Feature","192 B (0%)","8 (0%)"
"com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig","192 B (0%)","6 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping","192 B (0%)","6 (0%)"
"org.hibernate.property.access.spi.BuiltInPropertyAccessStrategies","192 B (0%)","6 (0%)"
"com.sun.proxy.$Proxy55","192 B (0%)","12 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry","192 B (0%)","6 (0%)"
"java.lang.invoke.VarForm","192 B (0%)","8 (0%)"
"org.springframework.data.jpa.mapping.JpaPersistentPropertyImpl$$Lambda$742.0x0000000100745440","192 B (0%)","8 (0%)"
"org.springframework.expression.spel.standard.SpelExpressionParser","192 B (0%)","12 (0%)"
"javax.persistence.LockModeType","192 B (0%)","8 (0%)"
"org.springframework.format.datetime.standard.TemporalAccessorPrinter","192 B (0%)","12 (0%)"
"org.hibernate.query.criteria.internal.CriteriaQueryImpl","192 B (0%)","6 (0%)"
"com.sun.proxy.$Proxy83","192 B (0%)","12 (0%)"
"org.apache.logging.log4j.spi.StandardLevel","192 B (0%)","8 (0%)"
"org.hibernate.proxy.pojo.bytebuddy.ByteBuddyProxyFactory","192 B (0%)","4 (0%)"
"org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl","192 B (0%)","8 (0%)"
"sun.nio.cs.StreamEncoder","192 B (0%)","4 (0%)"
"java.lang.ThreadGroup","192 B (0%)","4 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityManager","192 B (0%)","6 (0%)"
"java.lang.invoke.LambdaForm$BasicType","192 B (0%)","6 (0%)"
"org.hibernate.loader.plan.exec.internal.EntityReferenceAliasesImpl","192 B (0%)","8 (0%)"
"org.h2.expression.ValueExpression","192 B (0%)","8 (0%)"
"java.beans.BeanDescriptor","192 B (0%)","4 (0%)"
"java.util.concurrent.LinkedBlockingQueue","192 B (0%)","4 (0%)"
"org.springframework.beans.factory.support.DefaultListableBeanFactory$DependencyObjectProvider","192 B (0%)","6 (0%)"
"org.h2.value.TypeInfo[]","184 B (0%)","1 (0%)"
"com.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State[]","184 B (0%)","7 (0%)"
"org.h2.value.DataType[]","184 B (0%)","1 (0%)"
"sun.util.logging.internal.LoggingProviderImpl$JULWrapper","176 B (0%)","11 (0%)"
"java.text.NumberFormat$Field","176 B (0%)","11 (0%)"
"org.springframework.data.jpa.mapping.JpaPersistentEntityImpl","176 B (0%)","2 (0%)"
"org.thymeleaf.templateparser.markup.InlinedOutputExpressionMarkupHandler$InlineMarkupAdapterPreProcessorHandler","176 B (0%)","11 (0%)"
"org.apache.catalina.deploy.NamingResourcesImpl","176 B (0%)","2 (0%)"
"java.io.FileInputStream$1","176 B (0%)","11 (0%)"
"org.springframework.util.MimeType$$Lambda$919.0x00000001007ff040","176 B (0%)","11 (0%)"
"org.apache.coyote.Request","176 B (0%)","1 (0%)"
"org.thymeleaf.context.WebEngineContext$RequestParametersMap","176 B (0%)","11 (0%)"
"java.util.IdentityHashMap$KeySet","176 B (0%)","11 (0%)"
"org.apache.catalina.core.StandardWrapperValve","176 B (0%)","2 (0%)"
"org.thymeleaf.context.WebEngineContext$ServletContextAttributesMap","176 B (0%)","11 (0%)"
"org.apache.catalina.core.StandardHost","176 B (0%)","1 (0%)"
"org.thymeleaf.context.WebEngineContext$SessionAttributesMap","176 B (0%)","11 (0%)"
"org.h2.engine.DbSettings","176 B (0%)","2 (0%)"
"com.zaxxer.hikari.HikariDataSource","168 B (0%)","1 (0%)"
"java.math.BigInteger[][]","168 B (0%)","1 (0%)"
"org.springframework.cglib.proxy.CallbackInfo","168 B (0%)","7 (0%)"
"java.lang.System$Logger$Level","168 B (0%)","7 (0%)"
"org.springframework.boot.logging.LogLevel","168 B (0%)","7 (0%)"
"sun.management.counter.Units","168 B (0%)","7 (0%)"
"org.hibernate.boot.SchemaAutoTooling","168 B (0%)","7 (0%)"
"org.h2.engine.Session$State","168 B (0%)","7 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.InstantDeserializer","168 B (0%)","3 (0%)"
"com.fasterxml.jackson.annotation.PropertyAccessor","168 B (0%)","7 (0%)"
"net.bytebuddy.implementation.bytecode.constant.IntegerConstant","168 B (0%)","7 (0%)"
"org.hibernate.hql.internal.ast.tree.SqlFragment","168 B (0%)","3 (0%)"
"org.hibernate.jpa.event.spi.CallbackType","168 B (0%)","7 (0%)"
"org.hibernate.hql.internal.ast.tree.DotNode$DereferenceType","168 B (0%)","7 (0%)"
"org.h2.mvstore.db.MVTable$TraceLockEvent","168 B (0%)","7 (0%)"
"sun.rmi.transport.tcp.TCPConnection","168 B (0%)","3 (0%)"
"net.bytebuddy.description.type.TypeList$Generic$ForLoadedTypes","168 B (0%)","7 (0%)"
"org.springframework.transaction.annotation.Propagation","168 B (0%)","7 (0%)"
"ch.qos.logback.classic.Level","168 B (0%)","7 (0%)"
"java.util.regex.Pattern$Dollar","168 B (0%)","7 (0%)"
"org.hibernate.hql.internal.ast.HqlLexer","168 B (0%)","3 (0%)"
"javax.persistence.metamodel.Attribute$PersistentAttributeType","168 B (0%)","7 (0%)"
"org.hibernate.event.spi.LoadEventListener$LoadType","168 B (0%)","7 (0%)"
"org.springframework.asm.Type[]","168 B (0%)","6 (0%)"
"java.util.Collections$3","168 B (0%)","7 (0%)"
"com.fasterxml.jackson.annotation.JsonInclude$Include","168 B (0%)","7 (0%)"
"org.apache.tomcat.util.net.SocketEvent","168 B (0%)","7 (0%)"
"org.springframework.core.convert.support.GenericConversionService$Converters","168 B (0%)","7 (0%)"
"com.fasterxml.jackson.databind.type.TypeBindings$AsKey","168 B (0%)","7 (0%)"
"org.apache.catalina.connector.Request","168 B (0%)","1 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyAdviceChain","168 B (0%)","7 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatEmbeddedWebappClassLoader","160 B (0%)","1 (0%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","160 B (0%)","4 (0%)"
"org.springframework.transaction.interceptor.TransactionAspectSupport$1","160 B (0%)","5 (0%)"
"org.attoparser.config.ParseConfiguration","160 B (0%)","4 (0%)"
"com.zaxxer.hikari.pool.HikariPool","160 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLIILL","160 B (0%)","2 (0%)"
"org.hibernate.event.service.internal.EventListenerGroupImpl[]","160 B (0%)","1 (0%)"
"org.hibernate.FetchMode[]","160 B (0%)","5 (0%)"
"java.time.temporal.ChronoUnit[]","160 B (0%)","2 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter","160 B (0%)","1 (0%)"
"java.io.BufferedOutputStream","160 B (0%)","5 (0%)"
"com.zaxxer.hikari.pool.HikariProxyPreparedStatement","160 B (0%)","5 (0%)"
"org.hibernate.engine.transaction.internal.TransactionImpl","160 B (0%)","5 (0%)"
"java.net.SocketTimeoutException","160 B (0%)","4 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$TextProcessorWrapper","160 B (0%)","5 (0%)"
"java.util.ImmutableCollections$MapN","160 B (0%)","5 (0%)"
"org.springframework.orm.jpa.vendor.HibernateJpaDialect$SessionTransactionData","160 B (0%)","5 (0%)"
"org.springframework.security.core.SpringSecurityMessageSource","160 B (0%)","2 (0%)"
"org.h2.engine.IsolationLevel","160 B (0%)","5 (0%)"
"org.springframework.boot.context.properties.bind.Bindable","160 B (0%)","5 (0%)"
"org.hibernate.tuple.entity.PojoEntityInstantiator","160 B (0%)","4 (0%)"
"com.fasterxml.jackson.databind.type.TypeFactory","160 B (0%)","5 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$TemplateBoundariesProcessorWrapper","160 B (0%)","5 (0%)"
"org.springframework.validation.DefaultBindingErrorProcessor","160 B (0%)","10 (0%)"
"org.springframework.core.convert.support.CollectionToArrayConverter","160 B (0%)","10 (0%)"
"org.apache.catalina.core.ApplicationFilterConfig","160 B (0%)","5 (0%)"
"org.springframework.transaction.support.DefaultTransactionStatus","160 B (0%)","5 (0%)"
"org.springframework.util.AntPathMatcher$AntPatternComparator$PatternInfo","160 B (0%)","4 (0%)"
"org.springframework.security.config.annotation.SecurityConfigurerAdapter$CompositeObjectPostProcessor","160 B (0%)","10 (0%)"
"org.springframework.data.jpa.repository.support.CrudMethodMetadataPostProcessor$DefaultCrudMethodMetadata","160 B (0%)","5 (0%)"
"java.util.logging.Level[]","160 B (0%)","3 (0%)"
"org.springframework.http.converter.ResourceHttpMessageConverter","160 B (0%)","5 (0%)"
"org.springframework.http.converter.json.MappingJackson2HttpMessageConverter","160 B (0%)","4 (0%)"
"net.bytebuddy.implementation.bytecode.member.MethodVariableAccess","160 B (0%)","5 (0%)"
"org.springframework.core.convert.support.CollectionToStringConverter","160 B (0%)","10 (0%)"
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo","160 B (0%)","5 (0%)"
"org.h2.mvstore.type.ObjectDataType","160 B (0%)","10 (0%)"
"org.h2.result.ResultWithGeneratedKeys","160 B (0%)","10 (0%)"
"javax.xml.catalog.CatalogFeatures$Feature","160 B (0%)","4 (0%)"
"sun.rmi.transport.WeakRef","160 B (0%)","4 (0%)"
"org.springframework.transaction.interceptor.TransactionAspectSupport$TransactionInfo","160 B (0%)","5 (0%)"
"net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor$Handler$Bound","160 B (0%)","5 (0%)"
"jdk.internal.jimage.ImageBufferCache$BufferReference","160 B (0%)","5 (0%)"
"float[]","160 B (0%)","4 (0%)"
"org.hibernate.tuple.entity.BytecodeEnhancementMetadataPojoImpl","160 B (0%)","4 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type","160 B (0%)","5 (0%)"
"java.lang.invoke.VarHandle$AccessType","160 B (0%)","5 (0%)"
"jdk.xml.internal.JdkXmlFeatures$XmlFeature","160 B (0%)","4 (0%)"
"org.springframework.http.HttpStatus$Series[]","160 B (0%)","4 (0%)"
"com.sun.proxy.$Proxy36","160 B (0%)","10 (0%)"
"java.net.HostPortrange","160 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardObjectTagProcessor","160 B (0%)","4 (0%)"
"org.hibernate.engine.spi.Status[]","160 B (0%)","4 (0%)"
"java.util.Random","160 B (0%)","5 (0%)"
"org.hibernate.engine.jdbc.internal.ResultSetReturnImpl","160 B (0%)","5 (0%)"
"org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl","160 B (0%)","4 (0%)"
"java.beans.GenericBeanInfo","160 B (0%)","4 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL","160 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.Base64Variant","160 B (0%)","4 (0%)"
"org.hibernate.persister.entity.BasicEntityPropertyMapping","160 B (0%)","4 (0%)"
"org.apache.catalina.session.StandardManager","160 B (0%)","1 (0%)"
"com.fasterxml.jackson.core.JsonEncoding","160 B (0%)","5 (0%)"
"org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource","160 B (0%)","5 (0%)"
"java.util.Formatter$Flags","160 B (0%)","10 (0%)"
"com.sun.proxy.$Proxy103","160 B (0%)","10 (0%)"
"com.sun.proxy.$Proxy102","160 B (0%)","10 (0%)"
"jdk.internal.logger.LazyLoggers$JdkLazyLogger","160 B (0%)","10 (0%)"
"org.h2.mvstore.tx.TransactionMap","160 B (0%)","5 (0%)"
"javax.management.StandardEmitterMBean","160 B (0%)","5 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory","152 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.deser.Deserializers[]","152 B (0%)","7 (0%)"
"org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext","152 B (0%)","1 (0%)"
"org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRefImpl[]","152 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector","144 B (0%)","2 (0%)"
"net.bytebuddy.description.type.TypeDefinition$Sort","144 B (0%)","6 (0%)"
"org.unbescape.html.HtmlEscapeType","144 B (0%)","6 (0%)"
"org.hibernate.internal.EntityManagerMessageLogger_$logger","144 B (0%)","9 (0%)"
"org.hibernate.validator.resourceloading.PlatformResourceBundleLocator","144 B (0%)","6 (0%)"
"org.apache.catalina.core.ApplicationContext$DispatchData","144 B (0%)","6 (0%)"
"org.hibernate.engine.spi.Status","144 B (0%)","6 (0%)"
"org.hibernate.hql.internal.ast.ErrorTracker","144 B (0%)","6 (0%)"
"javax.validation.executable.ExecutableType","144 B (0%)","6 (0%)"
"org.springframework.data.jpa.repository.support.JpaRepositoryFactory","144 B (0%)","2 (0%)"
"org.h2.value.ValueDouble","144 B (0%)","6 (0%)"
"org.springframework.validation.Validator[]","144 B (0%)","6 (0%)"
"org.apache.logging.log4j.MarkerManager$Log4jMarker","144 B (0%)","6 (0%)"
"java.time.format.DateTimeFormatterBuilder$LocalizedPrinterParser","144 B (0%)","6 (0%)"
"org.apache.coyote.http11.Http11InputBuffer$HeaderParsePosition","144 B (0%)","6 (0%)"
"org.springframework.validation.DefaultMessageCodesResolver","144 B (0%)","6 (0%)"
"org.springframework.aop.Advisor[]","144 B (0%)","5 (0%)"
"org.hibernate.internal.FastSessionServices","144 B (0%)","1 (0%)"
"org.h2.mvstore.CursorPos","144 B (0%)","6 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap","144 B (0%)","3 (0%)"
"sun.nio.ch.WindowsSelectorImpl$MapEntry","144 B (0%)","6 (0%)"
"java.lang.module.ModuleDescriptor$Opens","144 B (0%)","6 (0%)"
"org.hibernate.hql.internal.ast.tree.FromElementType","144 B (0%)","3 (0%)"
"org.springframework.security.web.util.matcher.AntPathRequestMatcher$SpringAntMatcher","144 B (0%)","6 (0%)"
"org.springframework.transaction.interceptor.TransactionInterceptor","144 B (0%)","3 (0%)"
"org.springframework.boot.context.properties.source.SpringConfigurationPropertySource$DelegatingPropertyMapper","144 B (0%)","6 (0%)"
"org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler","144 B (0%)","9 (0%)"
"org.apache.coyote.http11.Http11NioProtocol","144 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$Strategy","144 B (0%)","6 (0%)"
"java.time.format.DateTimeFormatterBuilder$OffsetIdPrinterParser","144 B (0%)","6 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType","144 B (0%)","6 (0%)"
"org.hibernate.validator.internal.metadata.aggregated.BeanMetaDataImpl","144 B (0%)","2 (0%)"
"java.lang.StringCoding$Result","144 B (0%)","6 (0%)"
"org.h2.command.dml.TransactionCommand","144 B (0%)","2 (0%)"
"java.rmi.server.Operation","144 B (0%)","9 (0%)"
"java.util.regex.CharPredicates$$Lambda$834.0x0000000100773c40","144 B (0%)","9 (0%)"
"org.apache.catalina.core.StandardServer","144 B (0%)","1 (0%)"
"org.springframework.web.context.request.RequestScope","144 B (0%)","9 (0%)"
"com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig","144 B (0%)","6 (0%)"
"sun.rmi.transport.tcp.TCPChannel","144 B (0%)","3 (0%)"
"org.jboss.logging.Logger$Level","144 B (0%)","6 (0%)"
"java.time.temporal.JulianFields$Field","144 B (0%)","3 (0%)"
"java.util.regex.Pattern$GroupCurly","144 B (0%)","3 (0%)"
"java.lang.invoke.VarHandle$AccessMode[]","144 B (0%)","1 (0%)"
"com.fasterxml.jackson.core.JsonParser$Feature[]","144 B (0%)","2 (0%)"
"org.hibernate.validator.internal.engine.valueextraction.ArrayElement","144 B (0%)","9 (0%)"
"java.lang.Thread$State","144 B (0%)","6 (0%)"
"net.bytebuddy.implementation.bytecode.constant.DefaultValue","144 B (0%)","6 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager","144 B (0%)","6 (0%)"
"com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility","144 B (0%)","6 (0%)"
"java.math.BigDecimal[]","144 B (0%)","2 (0%)"
"com.fasterxml.jackson.databind.deser.KeyDeserializers[]","144 B (0%)","6 (0%)"
"jdk.internal.perf.PerfCounter","144 B (0%)","6 (0%)"
"jdk.xml.internal.JdkXmlFeatures","144 B (0%)","6 (0%)"
"com.fasterxml.jackson.core.JsonParser$NumberType","144 B (0%)","6 (0%)"
"org.hibernate.validator.internal.engine.ValidatorFactoryImpl$ValidatorFactoryScopedContext","144 B (0%)","3 (0%)"
"org.h2.expression.aggregate.AggregateType[]","136 B (0%)","1 (0%)"
"org.apache.catalina.core.StandardEngine","136 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.deser.ValueInstantiators[]","136 B (0%)","6 (0%)"
"sun.invoke.util.ValueConversions$WrapperCache[]","136 B (0%)","4 (0%)"
"java.time.temporal.ChronoField[]","136 B (0%)","1 (0%)"
"org.springframework.boot.jdbc.EmbeddedDatabaseConnection","128 B (0%)","4 (0%)"
"org.hibernate.event.spi.PostLoadEvent","128 B (0%)","4 (0%)"
"org.springframework.web.method.annotation.RequestParamMethodArgumentResolver","128 B (0%)","4 (0%)"
"org.h2.constraint.ConstraintUnique","128 B (0%)","2 (0%)"
"org.hibernate.tuple.IdentifierProperty","128 B (0%)","4 (0%)"
"org.springframework.data.mapping.model.AnnotationBasedPersistentProperty$$Lambda$729.0x0000000100741c40","128 B (0%)","8 (0%)"
"org.hibernate.engine.spi.RowSelection","128 B (0%)","4 (0%)"
"org.springframework.http.converter.StringHttpMessageConverter","128 B (0%)","4 (0%)"
"org.hibernate.resource.jdbc.spi.PhysicalConnectionHandlingMode","128 B (0%)","4 (0%)"
"org.hibernate.cfg.beanvalidation.GroupsPerOperation$Operation","128 B (0%)","4 (0%)"
"org.springframework.data.mapping.model.Property$$Lambda$705.0x000000010073bc40","128 B (0%)","8 (0%)"
"org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl","128 B (0%)","8 (0%)"
"sun.util.locale.provider.LocaleResources","128 B (0%)","4 (0%)"
"org.hibernate.engine.jdbc.internal.StatementPreparerImpl$5","128 B (0%)","4 (0%)"
"org.springframework.cglib.proxy.MethodProxy$CreateInfo","128 B (0%)","4 (0%)"
"org.hibernate.engine.jdbc.Size$LobMultiplier","128 B (0%)","4 (0%)"
"org.springframework.core.$Proxy25","128 B (0%)","8 (0%)"
"org.attoparser.config.ParseConfiguration$PrologParseConfiguration","128 B (0%)","4 (0%)"
"com.fasterxml.jackson.core.io.SerializedString","128 B (0%)","4 (0%)"
"org.h2.engine.User","128 B (0%)","2 (0%)"
"org.springframework.data.mapping.model.AbstractPersistentProperty$$Lambda$719.0x000000010073f440","128 B (0%)","8 (0%)"
"org.hibernate.internal.FilterHelper","128 B (0%)","4 (0%)"
"org.springframework.data.mapping.model.AnnotationBasedPersistentProperty$$Lambda$727.0x0000000100741440","128 B (0%)","8 (0%)"
"com.fasterxml.classmate.util.LRUTypeCache$CacheMap","128 B (0%)","2 (0%)"
"org.hibernate.dialect.lock.PessimisticReadSelectLockingStrategy","128 B (0%)","4 (0%)"
"org.springframework.data.mapping.model.AnnotationBasedPersistentProperty$$Lambda$724.0x0000000100740840","128 B (0%)","8 (0%)"
"org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData","128 B (0%)","4 (0%)"
"org.springframework.data.mapping.model.AnnotationBasedPersistentProperty$$Lambda$725.0x0000000100740c40","128 B (0%)","8 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping","128 B (0%)","4 (0%)"
"org.hibernate.event.spi.PreLoadEvent","128 B (0%)","4 (0%)"
"org.springframework.beans.propertyeditors.CustomCollectionEditor","128 B (0%)","4 (0%)"
"org.apache.coyote.ErrorState","128 B (0%)","4 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLII","128 B (0%)","2 (0%)"
"org.springframework.data.mapping.model.AnnotationBasedPersistentProperty$$Lambda$728.0x0000000100741840","128 B (0%)","8 (0%)"
"org.hibernate.query.criteria.internal.CriteriaQueryImpl$1$1$1","128 B (0%)","8 (0%)"
"org.springframework.cglib.core.WeakCacheKey","128 B (0%)","4 (0%)"
"sun.rmi.transport.LiveRef","128 B (0%)","4 (0%)"
"org.hibernate.loader.plan.exec.process.internal.EntityReturnReader","128 B (0%)","8 (0%)"
"org.hibernate.internal.util.collections.StandardStack","128 B (0%)","8 (0%)"
